symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
A,2016-06-13 00:00:00+00:00,44.92,45.52,44.905,45.32,1272833,43.1192079973,43.6951546758,43.1048093303,43.5031724496,1272833,0.0,1.0
A,2016-06-14 00:00:00+00:00,44.91,44.945,44.56,44.7,1624087,43.109608886,43.1432057756,42.7736399902,42.9080275485,1624087,0.0,1.0
A,2016-06-15 00:00:00+00:00,44.94,45.38,44.9,45.11,2029194,43.1384062199,43.5607671175,43.1000097747,43.3015911121,2029194,0.0,1.0
A,2016-06-16 00:00:00+00:00,45.37,45.425,44.585,44.72,1784741,43.5511680062,43.6039631184,42.7976377685,42.9272257711,1784741,0.0,1.0
A,2016-06-17 00:00:00+00:00,45.36,45.42,44.87,45.42,3434813,43.5415688949,43.5991635627,43.0712124407,43.5991635627,3434813,0.0,1.0
A,2016-06-20 00:00:00+00:00,46.14,46.35,45.57,45.57,3161329,44.2902995769,44.4918809144,43.7431502323,43.7431502323,3161329,0.0,1.0
A,2016-06-21 00:00:00+00:00,46.16,46.33,45.76,46.21,2112964,44.3094977995,44.4726826918,43.9255333472,44.3574933561,2112964,0.0,1.0
A,2016-06-22 00:00:00+00:00,46.03,46.47,45.945,46.15,2412064,44.1847093525,44.6070702501,44.1031169064,44.2998986882,2412064,0.0,1.0
A,2016-06-23 00:00:00+00:00,46.68,46.68,46.39,46.5,1487938,44.8086515876,44.8086515876,44.5302773596,44.635867584,1487938,0.0,1.0
A,2016-06-24 00:00:00+00:00,44.12,45.065,43.92,44.56,5263644,42.3512790926,43.2583951113,42.1592968664,42.7736399902,5263644,0.0,1.0
A,2016-06-27 00:00:00+00:00,42.26,43.71,41.98,43.63,4328364,40.5658443893,41.957715529,40.2970692726,41.8809226385,4328364,0.0,1.0
A,2016-06-28 00:00:00+00:00,43.11,43.11,42.155,42.67,4300845,41.3817688505,41.3817688505,40.4650537205,40.9594079529,4300845,0.0,1.0
A,2016-06-29 00:00:00+00:00,43.76,43.98,43.19,43.55,2402578,42.0057110855,42.2168915343,41.4585617409,41.804129748,2402578,0.0,1.0
A,2016-06-30 00:00:00+00:00,44.36,44.4,43.59,43.68,2181066,42.6920475441,42.7305435292,41.9509998297,42.0376157963,2181066,0.115,1.0
A,2016-07-01 00:00:00+00:00,44.6,44.8,44.31,44.36,1591476,42.923023455,43.1155033808,42.6439275626,42.6920475441,1591476,0.0,1.0
A,2016-07-05 00:00:00+00:00,43.75,44.35,43.63,44.31,1813468,42.1049837703,42.6824235478,41.9894958149,42.6439275626,1813468,0.0,1.0
A,2016-07-06 00:00:00+00:00,44.47,44.55,43.36,43.65,2312133,42.7979115033,42.8749034736,41.729647915,42.0087438074,2312133,0.0,1.0
A,2016-07-07 00:00:00+00:00,44.42,44.74,44.18,44.47,1861536,42.7497915218,43.0577594031,42.5188156108,42.7979115033,1861536,0.0,1.0
A,2016-07-08 00:00:00+00:00,45.48,45.55,44.86,44.86,1838137,43.7699351286,43.8373031026,43.1732473586,43.1732473586,1838137,0.0,1.0
A,2016-07-11 00:00:00+00:00,45.4,45.77,45.35,45.61,1094683,43.6929431583,44.049031021,43.6448231768,43.8950470804,1094683,0.0,1.0
A,2016-07-12 00:00:00+00:00,46.53,46.66,45.64,45.77,2237748,44.7804547391,44.9055666908,43.9239190692,44.049031021,2237748,0.0,1.0
A,2016-07-13 00:00:00+00:00,46.41,46.82,46.325,46.64,1852475,44.6649667836,45.0595506315,44.5831628151,44.8863186983,1852475,0.0,1.0
A,2016-07-14 00:00:00+00:00,46.8,46.98,46.69,46.86,1192500,45.0403026389,45.2135345721,44.9344386797,45.0980466167,1192500,0.0,1.0
A,2016-07-15 00:00:00+00:00,46.67,46.96,46.55,46.96,1202638,44.9151906871,45.1942865796,44.7997027317,45.1942865796,1202638,0.0,1.0
A,2016-07-18 00:00:00+00:00,46.8,46.875,46.341,46.6,1362884,45.0403026389,45.1124826111,44.5985612092,44.8478227131,1362884,0.0,1.0
A,2016-07-19 00:00:00+00:00,46.98,47.0,46.49,46.67,2583860,45.2135345721,45.2327825647,44.7419587539,44.9151906871,2583860,0.0,1.0
A,2016-07-20 00:00:00+00:00,47.01,47.18,46.82,46.96,2124914,45.242406561,45.4060144979,45.0595506315,45.1942865796,2124914,0.0,1.0
A,2016-07-21 00:00:00+00:00,46.67,47.14,46.465,46.98,1226365,44.9151906871,45.3675185128,44.7178987632,45.2135345721,1226365,0.0,1.0
A,2016-07-22 00:00:00+00:00,46.58,46.79,46.42,46.72,1512440,44.8285747205,45.0306786426,44.6745907799,44.9633106686,1512440,0.0,1.0
